date,user_id,book_id,category,action,purchase_type,time_spent_minutes,purchase_price,book_type,device,city
2025-01-01,1001,101,Детектив,purchase,monthly_subscription,100,83.12,reading,E-Reader,Самара
2025-01-01,1001,101,Детектив,purchase,one_time_purchase,404,22.06,reading,E-Reader,Самара
2025-01-01,1001,102,Здоровье,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Самара
2025-01-01,1002,102,Здоровье,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Санкт-Петербург
2025-01-01,1002,103,Проза,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Санкт-Петербург
2025-01-01,1003,103,Проза,purchase,one_time_purchase,188,81.05,reading,E-Reader,Красноярск
2025-01-01,1001,101,Детектив,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Самара
2025-01-01,1002,101,Детектив,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Санкт-Петербург
2025-01-01,1004,104,Детектив,purchase,one_time_purchase,390,13.28,audio,iOS,Санкт-Петербург
2025-01-01,1001,105,Фантастика,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Самара
2025-01-01,1003,104,Детектив,purchase,one_time_purchase,156,93.13,reading,E-Reader,Красноярск
2025-01-01,1003,102,Здоровье,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Красноярск
2025-01-01,1005,102,Здоровье,wishlist,yearly_subscription,0,0.0,reading,Android,Ростов-на-Дону
2025-01-01,1002,105,Фантастика,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Санкт-Петербург
2025-01-01,1003,102,Здоровье,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Красноярск
2025-01-01,1006,105,Фантастика,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Москва
2025-01-01,1007,103,Проза,purchase,monthly_subscription,205,40.52,reading,Android,Новосибирск
2025-01-01,1004,102,Здоровье,purchase,one_time_purchase,285,70.76,audio,iOS,Санкт-Петербург
2025-01-01,1008,105,Фантастика,purchase,one_time_purchase,129,97.66,reading,iOS,Самара
2025-01-01,1009,105,Фантастика,purchase,monthly_subscription,9,32.4,reading,E-Reader,Самара
2025-01-01,1003,103,Проза,purchase,yearly_subscription,211,70.9,reading,E-Reader,Красноярск
2025-01-01,1004,101,Детектив,wishlist,yearly_subscription,0,0.0,audio,iOS,Санкт-Петербург
2025-01-01,1003,106,История,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Красноярск
2025-01-01,1010,104,Детектив,purchase,one_time_purchase,128,38.74,reading,E-Reader,Самара
2025-01-01,1008,107,История,purchase,monthly_subscription,482,53.8,reading,iOS,Самара
2025-01-01,1011,104,Детектив,purchase,one_time_purchase,123,67.45,reading,Android,Самара
2025-01-01,1012,106,История,wishlist,yearly_subscription,0,0.0,reading,iOS,Ростов-на-Дону
2025-01-01,1003,107,История,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Красноярск
2025-01-01,1002,106,История,purchase,one_time_purchase,430,88.73,reading,E-Reader,Санкт-Петербург
2025-01-01,1006,108,Научная литература,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Москва
2025-01-01,1013,103,Проза,wishlist,one_time_purchase,0,0.0,audio,Android,Москва
2025-01-01,1002,107,История,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Санкт-Петербург
2025-01-01,1001,101,Детектив,purchase,yearly_subscription,101,82.18,reading,E-Reader,Самара
2025-01-01,1014,104,Детектив,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Красноярск
2025-01-01,1007,104,Детектив,purchase,monthly_subscription,15,31.24,audio,Android,Новосибирск
2025-01-01,1008,104,Детектив,wishlist,one_time_purchase,0,0.0,audio,iOS,Самара
2025-01-01,1015,107,История,wishlist,monthly_subscription,0,0.0,reading,iOS,Омск
2025-01-01,1003,105,Фантастика,purchase,yearly_subscription,479,36.68,reading,E-Reader,Красноярск
2025-01-01,1014,109,Бизнес,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Красноярск
2025-01-01,1013,105,Фантастика,purchase,monthly_subscription,235,30.02,reading,Android,Москва
2025-01-01,1004,110,Проза,wishlist,one_time_purchase,0,0.0,reading,iOS,Санкт-Петербург
2025-01-01,1013,102,Здоровье,purchase,one_time_purchase,125,47.45,reading,Android,Москва
2025-01-01,1012,111,Бизнес,wishlist,one_time_purchase,0,0.0,audio,iOS,Ростов-на-Дону
2025-01-01,1009,106,История,purchase,monthly_subscription,202,89.38,reading,E-Reader,Самара
2025-01-01,1008,110,Проза,wishlist,yearly_subscription,0,0.0,reading,iOS,Самара
2025-01-01,1004,103,Проза,purchase,yearly_subscription,180,83.54,audio,iOS,Санкт-Петербург
2025-01-01,1001,109,Бизнес,purchase,yearly_subscription,428,40.74,reading,E-Reader,Самара
2025-01-01,1016,102,Здоровье,wishlist,yearly_subscription,0,0.0,audio,iOS,Новосибирск
2025-01-01,1009,112,Комикс,purchase,yearly_subscription,176,53.98,reading,E-Reader,Самара
2025-01-01,1004,102,Здоровье,purchase,monthly_subscription,234,40.95,audio,iOS,Санкт-Петербург
2025-01-01,1012,113,Бизнес,wishlist,one_time_purchase,0,0.0,audio,iOS,Ростов-на-Дону
2025-01-01,1006,114,Классика,purchase,monthly_subscription,382,20.07,reading,E-Reader,Москва
2025-01-01,1017,101,Детектив,purchase,yearly_subscription,64,43.34,reading,iOS,Екатеринбург
2025-01-01,1002,110,Проза,purchase,yearly_subscription,356,78.18,reading,E-Reader,Санкт-Петербург
2025-01-01,1018,106,История,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Уфа
2025-01-01,1001,101,Детектив,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Самара
2025-01-01,1019,109,Бизнес,wishlist,monthly_subscription,0,0.0,reading,iOS,Омск
2025-01-01,1005,104,Детектив,purchase,one_time_purchase,207,24.86,audio,Android,Ростов-на-Дону
2025-01-01,1016,115,Саморазвитие,wishlist,yearly_subscription,0,0.0,audio,iOS,Новосибирск
2025-01-01,1020,110,Проза,wishlist,yearly_subscription,0,0.0,audio,Android,Омск
2025-01-01,1007,116,Классика,purchase,yearly_subscription,24,28.85,audio,Android,Новосибирск
2025-01-01,1007,117,Роман,purchase,one_time_purchase,172,7.96,reading,Android,Новосибирск
